data_id,data_cnt,origin_vote,S_id,vote,random_label
265,1,2,175,3,22
266,1,2,176,3,5
267,1,17,177,19,6
268,42,6,6,6,24
269,53,22,21,21,11
270,1,2,178,3,19
271,1,21,179,8,5
272,1,25,180,25,21
273,1,2,181,3,18
274,67,11,11,11,4
275,67,11,11,11,8
276,1,2,182,3,9
277,1,17,183,19,19
278,1,20,184,17,8
279,43,5,5,5,3
280,1,2,185,3,20
281,67,11,11,11,19
282,67,11,11,11,7
283,1,2,186,3,25
284,56,14,15,15,7
285,56,14,15,15,16
286,1,18,187,18,25
287,1,6,188,6,19
288,1,17,189,19,15
289,43,5,5,5,8
290,1,23,190,22,21
291,1,20,191,7,23
292,1,4,192,13,24
293,75,9,10,10,5
294,1,12,193,4,12
295,1,18,194,18,6
296,1,24,195,24,15
297,1,20,196,17,24
298,43,5,5,5,24
299,1,13,197,9,3
300,86,8,7,7,16
301,1,15,198,14,14
302,1,14,199,15,16
303,1,18,200,18,23
304,63,16,20,20,20
305,1,19,201,12,8
306,86,8,7,7,25
307,43,5,5,5,14
308,1,17,202,19,14
309,1,6,203,6,14
310,56,14,15,15,10
311,86,8,7,7,22
312,86,8,7,7,1
313,75,9,10,10,16
314,42,6,6,6,22
315,1,23,204,18,2
316,11,13,9,9,4
317,11,13,9,9,24
318,86,8,7,7,1
319,11,13,9,9,12
320,1,19,205,23,10
321,1,19,206,23,14
322,32,25,25,25,4
323,1,25,207,25,5
324,23,4,13,13,17
325,11,13,9,9,7
326,1,17,208,19,23
327,1,17,209,19,3
328,11,13,9,9,17
329,67,11,11,11,5
330,75,9,10,10,17
331,1,21,210,8,24
332,23,4,13,13,17
333,43,5,5,5,13
334,1,13,211,9,4
335,75,9,10,10,6
336,75,9,10,10,2
337,32,25,25,25,20
338,56,14,15,15,12
339,1,4,212,13,18
340,11,13,9,9,9
341,1,23,213,4,6
342,32,25,25,25,10
343,1,17,214,19,6
344,1,18,215,18,4
345,75,9,10,10,11
346,1,20,216,17,11
347,11,13,9,9,1
348,11,13,9,9,14
349,63,16,20,20,13
350,32,25,25,25,10
351,1,24,217,24,20
352,86,8,7,7,15
353,32,25,25,25,3
354,23,4,13,13,11
355,32,25,25,25,14
356,32,25,25,25,23
357,67,11,11,11,15
358,32,25,25,25,10
359,1,4,218,13,11
360,56,14,15,15,16
361,23,4,13,13,3
362,1,23,219,22,6
363,67,11,11,11,25
364,33,20,17,17,9
365,1,24,220,24,4
366,1,24,221,23,5
367,75,9,10,10,7
368,43,5,5,5,22
369,63,16,20,20,3
370,63,16,20,20,11
371,56,14,15,15,17
372,56,14,15,15,2
373,86,8,7,7,6
374,37,3,4,4,9
375,1,24,222,24,6
376,32,25,25,25,4
377,32,25,25,25,3
378,23,4,13,13,21
379,33,20,17,17,3
380,1,24,223,24,6
381,1,20,224,17,5
382,1,20,225,7,20
383,17,21,8,8,13
384,1,20,226,7,3
385,1,23,227,22,10
386,1,22,228,20,5
387,1,24,229,23,1
388,1,17,230,19,12
389,1,25,231,25,25
390,1,18,232,18,1
391,63,16,20,20,2
392,63,16,20,20,9
393,1,23,233,22,3
394,33,20,17,17,12
395,42,6,6,6,22
396,17,21,8,8,22
397,63,16,20,20,24
398,1,6,234,6,21
399,86,8,7,7,9
400,42,6,6,6,2
401,44,1,1,1,23
402,1,13,235,9,5
403,53,22,21,21,19
404,1,12,236,16,2
405,1,21,237,8,9
406,63,16,20,20,19
407,32,25,25,25,25
408,44,1,1,1,4
409,67,11,11,11,23
410,1,25,238,25,21
411,32,25,25,25,2
412,1,17,239,19,9
413,1,13,240,9,5
414,32,25,25,25,14
415,1,13,241,9,8
416,42,6,6,6,9
417,1,18,242,18,15
418,1,20,243,17,6
419,1,23,244,22,7
420,1,23,245,22,23
421,1,23,246,22,24
422,1,23,247,22,22
423,1,14,248,15,15
424,75,9,10,10,3
425,37,3,4,4,16
426,37,3,4,4,22
427,75,9,10,10,17
428,56,14,15,15,10
429,1,23,249,22,8
430,23,4,13,13,6
431,1,23,250,22,23
432,1,23,251,22,8
433,1,2,252,3,11
434,37,3,4,4,14
435,37,3,4,4,24
436,42,6,6,6,22
437,1,14,253,15,13
438,1,25,254,25,12
439,42,6,6,6,14
440,1,12,255,4,1
441,53,22,21,21,22
442,1,25,256,25,8
443,42,6,6,6,24
444,1,20,257,17,8
445,1,17,258,19,14
446,1,13,259,9,23
447,53,22,21,21,7
448,33,20,17,17,9
449,32,25,25,25,2
450,1,23,260,22,4
451,43,5,5,5,14
452,1,12,261,16,20
453,1,21,262,8,22
454,43,5,5,5,11
455,1,12,263,16,25
456,1,24,264,24,19
457,1,24,265,23,12
458,56,14,15,15,1
459,1,2,266,11,23
460,1,12,267,16,13
461,53,22,21,21,1
462,53,22,21,21,13
463,1,2,268,3,19
464,1,24,269,24,19
465,23,4,13,13,21
466,86,8,7,7,4
467,1,22,270,21,5
468,43,5,5,5,7
469,56,14,15,15,5
470,75,9,10,10,11
471,67,11,11,11,3
472,67,11,11,11,9
473,63,16,20,20,14
474,23,4,13,13,14
475,23,4,13,13,20
476,67,11,11,11,17
477,1,21,271,8,6
478,1,2,272,11,2
479,75,9,10,10,12
480,1,11,273,11,24
481,75,9,10,10,4
482,1,2,274,11,10
483,75,9,10,10,12
484,1,17,275,19,25
485,33,20,17,17,5
486,63,16,20,20,10
487,67,11,11,11,8
488,75,9,10,10,2
489,56,14,15,15,1
490,1,16,276,20,20
491,32,25,25,25,17
492,1,22,277,21,24
493,1,18,278,18,20
494,1,22,279,21,5
495,1,21,280,8,2
496,56,14,15,15,1
497,1,13,281,9,1
498,1,15,282,14,8
499,1,20,283,7,18
500,1,17,284,19,6
501,1,24,285,24,25
502,37,3,4,4,16
503,1,17,286,19,18
504,1,2,287,11,15
505,1,13,288,9,24
506,53,22,21,21,7
507,86,8,7,7,9
508,1,21,289,23,1
509,42,6,6,6,14
510,1,18,290,18,8
511,1,10,291,2,13
512,1,18,292,18,2
513,1,10,293,2,23
514,1,23,294,22,6
515,42,6,6,6,16
516,1,10,295,2,13
517,75,9,10,10,21
518,63,16,20,20,22
519,1,24,296,24,14
520,23,4,13,13,7
521,1,15,297,14,2
522,23,4,13,13,1
523,1,23,298,22,16
524,1,22,299,21,22
525,1,24,300,24,16
526,1,19,301,23,10
527,56,14,15,15,14
528,1,22,302,23,8
529,1,24,303,24,7
530,1,17,304,19,16
531,56,14,15,15,24
532,1,8,305,7,2
533,75,9,10,10,23
534,86,8,7,7,1
535,1,24,306,24,1
536,1,11,307,11,19
537,1,23,308,22,13
538,1,2,309,11,13
539,67,11,11,11,6
540,1,7,310,24,18
541,1,23,311,22,5
542,67,11,11,11,3
543,1,20,312,17,17
544,1,22,313,21,13
545,23,4,13,13,2
546,1,18,314,18,20
547,1,12,315,16,25
548,86,8,7,7,18
549,63,16,20,20,19
550,1,7,316,12,19
551,43,5,5,5,17
552,37,3,4,4,10
553,32,25,25,25,18
554,1,15,317,14,1
