1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,18,17,18,17,18,19,20,16,16,19,16,13,14,17,15,17,18,17,19,19,18,16,18,14,17,14,19,17,17,18,19,19,15,18,17,17,14,18,19,12,16,17,16,15,17,14,15,18,18,19,2
3,7,23,23,22,23,21,20,22,22,22,15,22,24,23,22,23,23,22,22,22,23,23,23,23,22,21,16,23,21,23,23,17,21,9,19,21,20,21,21,13,22,15,13,21,21,15,22,24,23,23,3
4,3,2,2,3,3,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,5,3,3,1,2,3,2,3,2,3,3,6,1,2,1,3,2,2,1,2,2,1,1,1,1,2,2,12,1,4
5,19,11,11,15,21,7,9,15,18,16,13,14,12,13,18,15,14,15,15,13,11,20,19,15,15,11,15,15,13,19,20,12,11,12,10,13,7,12,7,11,15,12,11,6,16,16,9,13,13,13,5
6,6,6,7,5,7,6,7,6,7,5,5,8,5,8,7,7,5,8,7,8,8,6,7,6,3,7,6,7,6,7,8,7,5,4,5,6,6,7,6,3,6,7,3,5,6,5,6,7,6,5,6
7,10,8,8,8,10,9,10,10,10,8,9,11,7,11,10,10,9,10,10,10,12,12,9,8,8,9,9,9,8,10,10,9,12,10,8,10,9,11,10,9,11,10,7,9,9,8,8,10,9,9,7
8,23,24,24,23,24,24,24,24,24,24,24,23,22,22,24,16,22,23,24,23,24,24,24,22,24,23,22,24,23,24,24,23,24,23,23,24,24,23,24,24,23,23,23,24,23,22,24,23,22,22,8
9,3,2,2,3,3,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,5,3,3,1,2,3,2,3,2,3,3,6,1,2,1,3,2,2,1,2,2,1,1,1,1,2,2,12,1,2
10,23,2,21,23,24,24,24,14,24,24,18,23,19,22,24,22,2,23,24,23,24,5,24,21,24,12,3,18,15,24,24,23,24,23,23,24,24,23,24,24,14,2,23,24,23,22,24,19,18,17,8
11,18,10,12,9,6,10,13,22,14,10,10,13,14,23,22,17,18,14,22,22,23,23,10,14,22,14,24,17,14,8,23,8,15,22,4,8,14,21,11,12,22,22,22,21,21,14,12,24,11,19,3
12,6,6,7,5,7,6,7,6,7,5,5,8,5,8,7,7,5,8,7,8,8,6,7,6,3,7,6,7,6,7,8,7,5,4,5,6,6,7,6,3,6,7,3,5,6,5,6,7,6,5,6
13,18,10,12,17,18,19,13,16,14,19,7,13,14,15,6,17,18,14,11,11,18,5,6,14,17,14,19,8,17,6,7,4,15,18,2,4,14,18,2,12,16,2,16,15,1,14,12,5,4,19,2
14,18,17,11,17,18,19,23,19,21,16,16,21,21,19,15,21,18,20,19,19,18,16,18,18,15,11,19,17,17,18,19,19,22,18,17,17,23,18,19,11,19,17,11,23,17,19,15,13,21,19,9
15,7,23,23,22,23,21,20,22,22,22,15,22,24,23,22,23,23,22,22,22,23,23,23,23,22,21,16,23,21,23,23,17,21,9,19,21,20,21,21,13,22,15,13,21,21,15,22,24,23,23,7
16,22,23,21,23,22,24,24,18,24,24,18,23,22,22,19,13,21,23,24,23,24,5,22,21,24,23,16,22,23,22,24,18,24,23,23,24,24,23,24,24,18,21,23,24,23,22,23,21,19,21,2
17,24,23,23,22,23,23,23,21,22,22,23,21,24,23,22,23,23,22,22,22,23,23,23,23,23,22,24,22,22,23,23,22,21,22,22,22,23,22,23,22,21,22,22,23,22,23,22,24,23,23,10
18,22,23,22,21,22,23,23,21,21,21,23,21,21,23,23,22,21,20,21,21,21,21,22,21,23,22,16,22,22,22,21,21,22,21,22,22,23,22,23,21,21,21,21,23,22,23,23,21,19,21,2
19,4,4,3,4,4,3,5,4,3,3,3,5,4,5,4,3,6,3,4,4,5,4,4,4,2,3,4,5,4,4,4,5,4,5,6,3,4,5,5,2,7,5,2,3,4,4,5,3,5,6,11
